city,timestamp,avg_speed_kmph,traffic_volume
Bangalore,2024-06-06,5,4700
,2024-07-01,30,3491
London,2024-07-12,5,2319
NYC,2024-06-11,60,4087
Berlin,2024-06-18,30,1175
London,2024-06-15,180,2739
NYC,2024-07-23,5,3222
London,2024-06-19,,741
Bangalore,2024-06-02,30,2256
Bangalore,2024-06-18,5,4854
Bangalore,2024-06-04,5,4025
Bangalore,2024-06-04,60,3406
Berlin,2024-07-24,30,4199
Bangalore,2024-07-26,30,4444
,2024-07-02,60,3375
London,2024-07-14,30,3874
London,2024-06-29,15,809
NYC,2024-07-23,60,2053
,2024-06-08,30,1352
NYC,2024-06-18,60,479
Berlin,2024-06-21,5,1481
,2024-07-06,15,3366
London,2024-07-16,,4605
Bangalore,2024-07-23,30,371
London,2024-07-07,5,4934
Berlin,2024-07-03,15,1685
Bangalore,2024-06-23,60,4001
Bangalore,2024-07-03,30,4703
London,2024-06-10,30,196
Berlin,2024-06-28,60,2745
,2024-07-27,15,1376
,2024-06-29,30,583
NYC,2024-06-11,5,3113
London,2024-07-23,60,4648
NYC,2024-06-27,30,493
NYC,2024-07-01,15,4266
Bangalore,2024-06-18,15,2133
Bangalore,2024-07-30,5,450
Bangalore,2024-06-06,15,4210
Bangalore,2024-07-09,15,2762
,2024-06-18,60,3659
,2024-07-10,30,3531
,2024-07-27,15,3935
Bangalore,2024-07-16,60,941
,2024-06-04,15,481
NYC,2024-07-13,5,2798
NYC,2024-07-28,30,3443
,2024-06-25,15,1607
London,2024-07-07,15,2512
,2024-06-15,30,870
Bangalore,2024-07-09,15,3078
London,2024-07-12,5,3141
NYC,2024-06-14,15,2375
,2024-06-14,5,4923
NYC,2024-07-04,60,1371
Bangalore,2024-07-15,15,2834
Berlin,2024-06-30,5,1127
Bangalore,2024-07-15,5,4604
Bangalore,2024-06-07,30,4582
London,2024-07-03,30,841
Berlin,2024-06-19,60,4645
London,2024-07-19,15,1397
,2024-07-22,30,455
Bangalore,2024-07-16,15,4251
Berlin,2024-07-25,5,1324
,2024-07-19,30,3124
NYC,2024-06-20,60,591
NYC,2024-07-04,5,2396
NYC,2024-06-17,5,3966
Berlin,2024-07-22,30,3046
Berlin,2024-07-15,30,373
London,2024-06-25,15,2610
Bangalore,2024-07-24,15,4299
NYC,2024-06-07,5,4438
Bangalore,2024-07-04,30,1872
,2024-06-16,15,4055
Bangalore,2024-07-30,15,3826
Bangalore,2024-07-23,30,2081
Berlin,2024-07-04,30,1086
London,2024-07-26,15,2982
Berlin,2024-06-16,30,311
Bangalore,2024-06-22,5,4954
London,2024-06-18,30,3182
Berlin,2024-07-06,15,2860
Bangalore,2024-07-18,15,4805
,2024-06-30,5,1827
NYC,2024-07-12,5,3173
,2024-06-01,,4609
NYC,2024-06-18,60,1556
,2024-06-19,5,2181
Berlin,2024-06-27,15,82
Bangalore,2024-06-14,15,3554
London,2024-06-19,5,1689
Berlin,2024-06-13,30,1350
London,2024-06-01,60,4897
Berlin,2024-06-18,5,4644
,2024-06-24,15,3040
Berlin,2024-06-16,180,3368
Bangalore,2024-07-11,5,4793
London,2024-06-13,15,2508
NYC,2024-07-15,30,1575
NYC,2024-07-24,60,4240
Berlin,2024-06-11,30,4217
Berlin,2024-06-22,15,4163
Berlin,2024-06-16,5,2832
NYC,2024-06-27,30,3266
Bangalore,2024-06-02,5,2605
London,2024-07-30,180,2611
,2024-06-16,30,2431
Berlin,2024-06-30,30,1382
,2024-06-07,5,278
NYC,2024-06-18,30,3340
Berlin,2024-06-12,15,3825
London,2024-07-16,30,3669
London,2024-07-17,180,3998
NYC,2024-07-30,5,3552
Berlin,2024-07-11,5,1553
Berlin,2024-07-17,5,57
Bangalore,2024-06-09,15,2321
Berlin,2024-07-18,60,2146
Berlin,2024-06-20,5,1907
Bangalore,2024-06-08,15,1520
,2024-06-16,5,3992
Bangalore,2024-06-07,5,3109
NYC,2024-07-05,60,2211
Bangalore,2024-07-18,5,1147
Berlin,2024-07-12,5,4101
,2024-06-09,5,2651
,2024-06-21,15,752
Bangalore,2024-06-05,5,311
Berlin,2024-06-22,5,1389
Berlin,2024-06-07,15,2610
London,2024-07-23,30,3040
NYC,2024-06-04,5,3941
NYC,2024-06-15,5,522
Berlin,2024-07-09,60,3055
London,2024-07-19,5,1527
Bangalore,2024-06-23,30,1936
London,2024-06-06,15,359
Berlin,2024-07-08,30,1181
,2024-06-23,60,286
Berlin,2024-06-03,5,4513
Berlin,2024-06-08,30,2533
London,2024-07-30,180,580
London,2024-07-12,5,702
Bangalore,2024-07-17,15,4410
Berlin,2024-06-21,30,2480
London,2024-06-29,60,1477
Berlin,2024-07-09,60,560
London,2024-07-28,15,3043
Bangalore,2024-07-21,30,1603
London,2024-07-12,60,3208
,2024-06-12,,408
London,2024-06-22,60,1077
Berlin,2024-06-29,5,1963
NYC,2024-06-14,15,1600
,2024-07-02,15,1994
,2024-07-16,15,3827
,2024-06-24,30,125
,2024-07-10,5,630
London,2024-06-30,30,3035
Bangalore,2024-06-03,15,2258
Bangalore,2024-06-07,15,2347
Bangalore,2024-07-24,60,732
Berlin,2024-06-10,30,4677
Bangalore,2024-06-19,30,2207
Berlin,2024-06-04,15,1588
,2024-06-02,30,1075
NYC,2024-07-23,15,2358
NYC,2024-06-04,,950
Berlin,2024-06-24,60,4470
Berlin,2024-07-10,30,3145
,2024-06-13,60,4247
NYC,2024-06-01,30,1742
NYC,2024-07-05,5,1394
London,2024-06-14,60,1742
NYC,2024-07-17,15,2453
Berlin,2024-07-02,30,1772
,2024-07-27,15,3276
NYC,2024-06-15,180,4183
Bangalore,2024-06-14,15,4870
Bangalore,2024-07-21,5,4391
Bangalore,2024-07-26,5,3496
London,2024-07-12,180,4753
NYC,2024-06-16,30,3602
London,2024-07-17,15,2417
London,2024-06-11,30,4616
London,2024-07-05,15,1322
,2024-06-20,30,598
Bangalore,2024-07-19,5,2424
NYC,2024-07-29,60,4599
Bangalore,2024-06-10,5,4432
,2024-06-10,15,3546
London,2024-07-01,15,1191
,2024-06-26,15,317
NYC,2024-06-28,15,1232
NYC,2024-07-06,15,1053
,2024-06-22,15,2528
Berlin,2024-06-07,5,704
London,2024-07-01,15,1658
NYC,2024-07-26,15,4723
,2024-07-30,30,2957
London,2024-06-03,15,3314
Bangalore,2024-06-09,,2834
,2024-07-16,5,3797
London,2024-06-06,15,1339
Bangalore,2024-07-24,30,1288
NYC,2024-07-27,15,2400
Bangalore,2024-06-23,60,4444
Berlin,2024-06-14,15,1633
,2024-06-16,15,3571
NYC,2024-06-20,15,1385
,2024-06-03,60,403
,2024-07-15,15,3356
London,2024-07-16,5,4512
Berlin,2024-06-07,5,851
London,2024-06-08,15,3095
NYC,2024-07-20,30,2911
Berlin,2024-06-09,15,2745
NYC,2024-07-14,30,3750
NYC,2024-06-08,15,308
Bangalore,2024-07-04,15,4884
London,2024-07-24,5,3653
Bangalore,2024-07-07,15,1826
,2024-07-27,180,3714
NYC,2024-07-09,30,3567
Bangalore,2024-07-07,5,2226
Bangalore,2024-07-24,15,1909
Bangalore,2024-06-20,60,4687
,2024-06-30,60,2780
London,2024-06-26,30,4283
Berlin,2024-06-01,60,3849
Berlin,2024-07-13,30,1327
Bangalore,2024-07-14,15,1827
London,2024-06-14,5,3652
NYC,2024-06-02,30,3743
London,2024-07-08,15,3749
,2024-07-20,30,3217
NYC,2024-06-26,,1562
,2024-07-20,60,4605
Berlin,2024-06-09,5,1827
London,2024-07-20,5,226
NYC,2024-06-18,5,385
NYC,2024-07-30,60,683
,2024-07-14,30,1210
NYC,2024-06-17,5,3036
London,2024-06-19,30,2565
Bangalore,2024-06-13,15,4109
,2024-07-17,30,4251
Bangalore,2024-07-20,30,146
NYC,2024-06-02,,4333
Berlin,2024-06-02,15,2907
London,2024-07-22,5,4321
NYC,2024-06-09,30,3302
NYC,2024-06-29,30,2248
,2024-06-24,60,757
Berlin,2024-07-06,15,3703
Bangalore,2024-06-18,15,4875
London,2024-07-25,5,2301
NYC,2024-07-13,30,2393
Berlin,2024-07-25,30,2788
,2024-07-14,15,3741
,2024-06-15,5,2021
Bangalore,2024-06-30,15,4196
London,2024-06-23,15,4518
London,2024-06-04,30,3492
Bangalore,2024-06-08,5,4284
Berlin,2024-06-08,60,151
NYC,2024-07-17,30,395
London,2024-07-15,15,3969
,2024-06-12,15,806
Berlin,2024-06-06,60,4394
Berlin,2024-07-28,15,3771
,2024-06-07,30,573
Berlin,2024-07-08,30,4031
NYC,2024-06-25,30,2086
,2024-06-19,5,1362
,2024-06-23,,2371
,2024-06-14,15,668
Berlin,2024-06-01,15,4369
,2024-07-22,30,3471
Bangalore,2024-07-05,15,2744
,2024-07-10,30,4734
NYC,2024-06-07,15,2714
NYC,2024-07-21,5,1033
NYC,2024-07-11,5,693
London,2024-06-07,30,3761
Berlin,2024-07-14,15,1482
,2024-07-18,30,4476
Bangalore,2024-06-09,15,3096
Berlin,2024-07-23,30,807
Berlin,2024-06-02,5,930
London,2024-06-14,180,3261
Berlin,2024-07-04,5,3907
Bangalore,2024-06-26,5,1514
London,2024-06-07,5,2195
London,2024-06-30,60,1942
Bangalore,2024-06-18,5,2436
London,2024-07-13,15,3674
London,2024-07-24,15,866
,2024-07-29,5,3840
,2024-06-23,5,4431
London,2024-06-29,5,1335
,2024-06-19,5,1753
NYC,2024-06-29,15,2110
Berlin,2024-07-27,5,239
Berlin,2024-07-20,15,3459
NYC,2024-07-14,5,2134
NYC,2024-07-11,30,1291
Bangalore,2024-07-15,30,1243
Bangalore,2024-06-05,5,3488
,2024-07-24,5,2032
,2024-06-02,5,4650
NYC,2024-06-02,30,2936
NYC,2024-07-12,30,3640
Bangalore,2024-07-01,60,2044
NYC,2024-07-10,15,4199
London,2024-07-01,5,720
NYC,2024-06-07,30,568
NYC,2024-07-24,15,1586
London,2024-06-24,15,545
Bangalore,2024-06-15,60,4316
,2024-06-26,60,1319
Berlin,2024-06-21,15,4297
Bangalore,2024-07-26,30,1415
Berlin,2024-07-10,5,4914
Bangalore,2024-06-13,60,269
NYC,2024-06-10,30,123
NYC,2024-06-25,180,3028
Berlin,2024-06-02,30,3872
London,2024-06-15,15,1488
Bangalore,2024-06-06,30,4660
London,2024-07-09,15,2253
,2024-06-15,60,3587
Berlin,2024-06-28,30,3462
London,2024-07-08,5,3678
Bangalore,2024-07-24,15,1192
NYC,2024-07-18,60,3786
London,2024-07-01,15,1329
London,2024-06-29,30,3968
London,2024-06-09,60,2944
London,2024-07-28,15,1318
London,2024-06-20,30,267
Bangalore,2024-07-08,15,4852
Berlin,2024-07-19,15,1794
Berlin,2024-07-04,15,1679
London,2024-07-03,5,1287
Berlin,2024-06-13,15,2613
NYC,2024-06-25,5,4127
Bangalore,2024-06-15,15,4426
London,2024-07-04,5,2875
NYC,2024-06-05,30,4902
Berlin,2024-06-09,60,4445
Bangalore,2024-07-17,60,4655
Berlin,2024-07-24,5,278
Berlin,2024-07-01,5,2624
London,2024-06-27,5,3341
London,2024-06-14,180,3838
Berlin,2024-07-24,60,1189
Berlin,2024-07-28,5,616
NYC,2024-06-10,15,1895
Bangalore,2024-07-27,15,2198
Berlin,2024-07-13,60,4146
NYC,2024-06-07,5,672
NYC,2024-06-02,5,4569
NYC,2024-06-24,5,4433
London,2024-07-18,15,3619
,2024-06-21,60,3980
Bangalore,2024-07-20,60,1580
London,2024-07-02,5,2730
,2024-07-06,60,1459
Bangalore,2024-07-28,30,75
NYC,2024-07-16,30,4605
London,2024-07-22,60,3702
Berlin,2024-06-27,5,707
NYC,2024-06-06,15,870
London,2024-06-06,,120
NYC,2024-06-13,15,642
Berlin,2024-07-16,5,4401
Berlin,2024-07-05,30,2516
,2024-06-22,15,1550
NYC,2024-07-03,60,1240
NYC,2024-07-20,60,3221
NYC,2024-06-01,5,3467
Berlin,2024-06-26,30,4113
NYC,2024-07-14,60,2195
Bangalore,2024-07-18,60,1821
Berlin,2024-06-18,60,4960
NYC,2024-06-02,15,959
,2024-07-09,30,3783
,2024-07-20,,4564
NYC,2024-06-15,30,1075
London,2024-06-12,15,1180
,2024-06-16,60,4809
Berlin,2024-06-29,60,2228
London,2024-06-25,15,4016
Bangalore,2024-07-04,30,429
NYC,2024-07-23,5,2266
NYC,2024-06-25,15,61
Bangalore,2024-07-29,15,1910
NYC,2024-06-07,60,2671
Berlin,2024-07-19,30,1536
NYC,2024-07-02,15,4038
Bangalore,2024-06-13,15,4127
Berlin,2024-07-15,5,3454
,2024-06-28,5,606
London,2024-06-06,15,2309
,2024-07-29,60,1326
London,2024-07-03,15,339
Bangalore,2024-06-05,5,2302
NYC,2024-07-10,5,2730
London,2024-07-23,30,1948
,2024-07-17,30,522
Bangalore,2024-06-26,30,2185
Berlin,2024-06-15,15,892
London,2024-07-23,5,3829
London,2024-06-05,30,2862
NYC,2024-07-08,5,4179
Berlin,2024-06-10,30,2063
Berlin,2024-06-15,60,4228
London,2024-06-09,180,3249
Berlin,2024-06-29,30,3399
Bangalore,2024-07-07,15,2866
London,2024-06-04,60,3065
Berlin,2024-07-06,60,2029
London,2024-07-17,60,3180
,2024-07-23,30,2269
London,2024-07-06,15,3764
Bangalore,2024-06-27,60,1968
,2024-07-28,60,2962
NYC,2024-06-29,15,223
,2024-07-15,15,4712
London,2024-06-24,30,4950
London,2024-07-12,15,1567
,2024-06-05,60,3888
Bangalore,2024-07-27,30,3816
,2024-07-02,5,1383
,2024-06-11,30,491
NYC,2024-06-19,5,4416
,2024-07-04,,4119
Bangalore,2024-07-13,30,2836
Berlin,2024-06-02,5,487
NYC,2024-07-03,,1587
London,2024-06-03,5,4069
Bangalore,2024-07-25,60,2537
NYC,2024-06-24,30,342
Berlin,2024-07-24,60,4360
NYC,2024-07-22,60,680
NYC,2024-07-11,15,4080
,2024-06-08,15,2010
,2024-06-08,60,4604
Bangalore,2024-06-20,15,309
Bangalore,2024-07-01,30,1465
,2024-06-28,15,2821
Bangalore,2024-07-12,5,2115
NYC,2024-07-05,15,423
London,2024-07-30,15,4242
NYC,2024-06-27,60,3863
London,2024-07-15,5,1369
NYC,2024-06-04,60,1891
Bangalore,2024-06-23,30,3496
London,2024-07-25,5,2801
Berlin,2024-07-26,15,2843
,2024-07-23,5,2667
NYC,2024-07-02,15,141
NYC,2024-07-04,30,3858
,2024-07-23,15,1368
Bangalore,2024-07-28,5,248
London,2024-07-13,15,2627
Bangalore,2024-07-14,15,4332
NYC,2024-06-25,15,4016
Bangalore,2024-06-26,60,566
Berlin,2024-07-03,15,1555
Bangalore,2024-06-08,15,4106
NYC,2024-07-20,15,2845
,2024-06-23,5,2265
London,2024-06-22,60,400
Bangalore,2024-07-07,5,2481
NYC,2024-07-09,5,1255
London,2024-06-08,5,3800
,2024-06-12,15,1985
Bangalore,2024-06-05,5,612
Bangalore,2024-06-12,30,745
Berlin,2024-06-29,30,3142
,2024-06-21,180,572
NYC,2024-06-24,15,1139
,2024-07-24,15,596
Bangalore,2024-06-26,60,4432
NYC,2024-06-25,15,2513
Bangalore,2024-06-07,5,2699
London,2024-07-29,60,1702
Bangalore,2024-06-23,15,3793
Berlin,2024-07-12,30,3566
,2024-07-08,5,956
,2024-07-30,15,3714
Berlin,2024-06-26,30,1215
NYC,2024-07-26,15,1993
,2024-06-11,5,3537
,2024-07-30,30,806
London,2024-06-21,5,2557
London,2024-07-24,30,1065
Bangalore,2024-07-25,5,3511
Bangalore,2024-06-23,30,1552
Berlin,2024-06-28,15,3642
,2024-07-18,5,4398
Bangalore,2024-07-15,5,2414
London,2024-07-06,30,797
Bangalore,2024-07-17,30,4959
Berlin,2024-06-10,30,3926
Bangalore,2024-06-27,60,2705
Bangalore,2024-06-22,5,1830
London,2024-06-02,30,189
Berlin,2024-07-02,15,1347
Berlin,2024-06-01,15,1572
NYC,2024-06-13,30,3399
London,2024-07-05,5,1433
Berlin,2024-07-18,15,1765
Berlin,2024-07-12,30,4712
NYC,2024-06-15,30,4973
NYC,2024-07-11,180,793
NYC,2024-06-02,30,1569
NYC,2024-07-12,30,2115
Bangalore,2024-06-10,30,785
NYC,2024-06-15,30,3474
NYC,2024-07-20,5,3018
NYC,2024-07-06,15,2971
,2024-06-12,30,2633
,2024-07-20,15,4741
London,2024-07-28,180,3449
London,2024-07-05,30,1873
NYC,2024-06-17,15,4841
London,2024-06-02,60,586
NYC,2024-06-06,5,3799
Berlin,2024-06-09,15,1197
London,2024-06-02,15,4328
Berlin,2024-06-16,5,3052
London,2024-06-10,30,4349
Bangalore,2024-06-30,5,2141
