hospital_id,reporting_year,total_discharges,readmissions
255,2024,64.0,9
206,2022,378.0,151
228,2024,78.0,187
231,2024,241.0,119
226,2024,283.0,91
200,2022,115.0,108
257,2024,416.0,11
253,2023,146.0,120
219,2024,279.0,118
233,2024,264.0,4
250,2023,169.0,18
235,2022,190.0,71
225,2022,120.0,36
222,2023,362.0,27
232,2024,228.0,43
200,2023,262.0,170
202,2023,77.0,196
249,2024,399.0,71
234,2023,200.0,119
234,2022,174.0,19
258,2022,390.0,98
212,2022,418.0,133
232,2023,306.0,68
212,2024,401.0,116
221,2022,393.0,127
255,2024,248.0,11
204,2024,212.0,116
216,2022,341.0,142
242,2023,63.0,194
209,2022,233.0,86
258,2023,111.0,62
254,2024,445.0,116
226,2022,152.0,163
214,2022,392.0,6
244,2023,191.0,0
241,2023,239.0,71
208,2024,167.0,176
259,2022,266.0,149
206,2022,71.0,51
256,2022,162.0,94
209,2023,150.0,42
240,2023,78.0,38
212,2022,124.0,170
215,2023,399.0,181
233,2024,236.0,148
207,2022,391.0,116
259,2022,64.0,14
230,2024,198.0,91
254,2022,160.0,165
227,2022,138.0,122
206,2022,296.0,22
233,2022,382.0,90
232,2023,120.0,79
203,2024,162.0,50
254,2022,445.0,22
237,2023,366.0,178
225,2022,96.0,198
201,2023,331.0,113
231,2023,118.0,45
238,2024,292.0,93
241,2023,469.0,60
258,2022,232.0,143
240,2024,374.0,113
201,2024,391.0,59
225,2022,121.0,159
246,2022,452.0,168
226,2024,211.0,187
214,2023,300.0,148
220,2024,240.0,195
247,2024,175.0,6
226,2022,227.0,69
233,2022,290.0,19
248,2022,322.0,171
210,2024,170.0,43
222,2024,130.0,139
249,2022,384.0,58
221,2024,344.0,161
222,2022,150.0,43
200,2024,208.0,80
258,2023,455.0,39
211,2022,107.0,129
224,2023,74.0,188
205,2022,324.0,20
249,2022,103.0,139
248,2024,248.0,192
248,2022,51.0,77
233,2023,384.0,87
227,2023,71.0,139
224,2024,215.0,51
217,2022,166.0,13
246,2022,312.0,145
200,2024,410.0,151
231,2022,392.0,153
228,2022,115.0,188
219,2023,421.0,195
245,2023,338.0,63
212,2023,387.0,167
256,2023,170.0,156
211,2022,413.0,145
207,2022,184.0,195
238,2023,364.0,58
207,2022,265.0,122
217,2024,316.0,96
220,2024,189.0,183
227,2022,195.0,108
230,2022,434.0,65
214,2023,494.0,114
259,2023,170.0,11
238,2024,306.0,21
232,2022,332.0,189
237,2022,296.0,153
222,2023,122.0,141
215,2022,498.0,8
223,2023,381.0,6
220,2023,369.0,104
245,2022,98.0,174
207,2023,257.0,185
241,2024,418.0,19
258,2023,299.0,78
216,2024,212.0,183
214,2022,490.0,170
213,2022,218.0,113
219,2022,456.0,97
231,2022,84.0,187
210,2022,129.0,179
237,2023,353.0,114
231,2022,219.0,193
203,2022,289.0,19
228,2022,385.0,140
204,2024,311.0,24
242,2023,405.0,120
211,2022,425.0,35
242,2022,400.0,2
249,2023,160.0,46
238,2024,141.0,139
256,2022,340.0,187
222,2024,322.0,27
232,2023,224.0,74
215,2022,335.0,80
249,2023,293.0,141
243,2022,58.0,30
210,2022,328.0,196
207,2022,94.0,110
232,2022,114.0,193
247,2023,189.0,59
233,2022,386.0,102
220,2024,223.0,76
237,2022,210.0,19
216,2023,177.0,10
248,2024,327.0,105
233,2022,59.0,131
250,2023,395.0,179
240,2023,447.0,46
202,2022,266.0,121
223,2024,188.0,194
221,2023,452.0,138
209,2023,284.0,115
204,2024,356.0,49
240,2022,77.0,150
230,2022,332.0,189
223,2022,296.0,52
245,2022,444.0,94
210,2024,199.0,141
250,2023,202.0,46
254,2022,324.0,17
247,2023,497.0,66
213,2023,472.0,108
245,2024,312.0,102
203,2023,298.0,150
207,2022,439.0,94
206,2023,186.0,187
234,2022,167.0,186
254,2022,451.0,87
231,2022,464.0,49
221,2023,247.0,188
221,2024,367.0,144
245,2023,366.0,123
242,2024,223.0,53
225,2024,294.0,90
250,2024,391.0,8
235,2023,58.0,159
228,2024,71.0,21
203,2024,358.0,39
230,2024,326.0,77
221,2022,468.0,100
256,2024,304.0,51
252,2022,462.0,155
207,2024,134.0,171
220,2023,102.0,181
214,2022,111.0,103
247,2024,235.0,47
253,2023,110.0,21
253,2022,212.0,103
203,2023,392.0,162
241,2024,473.0,44
257,2024,131.0,27
204,2024,108.0,66
235,2024,392.0,85
201,2022,306.0,37
249,2022,221.0,180
207,2022,107.0,102
246,2024,261.0,86
203,2024,231.0,5
212,2023,257.0,141
213,2023,442.0,35
208,2022,330.0,50
227,2024,471.0,86
237,2024,458.0,76
211,2023,56.0,43
227,2022,479.0,44
212,2024,385.0,114
220,2023,167.0,111
254,2022,84.0,168
237,2022,144.0,5
251,2022,494.0,109
225,2023,50.0,91
224,2024,453.0,134
221,2023,290.0,94
250,2024,491.0,92
251,2024,268.0,46
251,2024,498.0,160
207,2022,342.0,106
236,2024,457.0,21
239,2022,162.0,66
244,2023,182.0,103
258,2024,444.0,12
255,2023,425.0,55
221,2023,468.0,76
212,2024,78.0,11
236,2024,423.0,4
213,2022,200.0,182
217,2024,272.0,126
246,2022,457.0,75
232,2022,127.0,73
206,2024,420.0,14
209,2024,174.0,65
259,2024,380.0,37
257,2022,370.0,97
229,2022,221.0,54
258,2022,459.0,182
254,2022,233.0,46
233,2022,69.0,103
244,2024,371.0,13
202,2022,82.0,142
258,2024,480.0,162
239,2022,350.0,158
211,2022,222.0,161
235,2024,258.0,6
252,2023,247.0,37
230,2023,317.0,126
222,2022,256.0,128
207,2024,361.0,13
200,2023,372.0,24
254,2023,455.0,116
234,2024,471.0,135
246,2023,390.0,167
214,2022,276.0,5
252,2022,413.0,78
227,2022,92.0,19
211,2023,140.0,80
200,2024,439.0,95
210,2024,444.0,186
250,2022,66.0,133
236,2022,277.0,166
248,2022,272.0,137
201,2022,156.0,136
244,2023,446.0,161
234,2022,225.0,54
244,2023,270.0,74
207,2022,471.0,74
230,2024,389.0,93
220,2023,343.0,188
252,2024,354.0,58
244,2024,148.0,109
202,2024,280.0,116
224,2022,370.0,10
240,2024,413.0,12
227,2024,355.0,61
227,2024,62.0,113
201,2023,396.0,70
207,2022,180.0,94
200,2024,261.0,106
220,2022,77.0,21
214,2023,375.0,37
254,2022,479.0,141
207,2024,351.0,5
239,2022,186.0,30
221,2022,495.0,124
238,2022,350.0,50
219,2022,210.0,130
212,2022,53.0,144
225,2023,446.0,19
238,2024,101.0,134
206,2022,215.0,144
256,2022,370.0,57
210,2024,351.0,116
230,2024,434.0,154
233,2024,209.0,12
210,2024,411.0,4
223,2022,226.0,64
224,2024,68.0,144
250,2023,130.0,164
255,2022,229.0,143
232,2023,472.0,145
228,2024,239.0,91
257,2023,90.0,2
220,2022,381.0,145
248,2022,197.0,168
232,2022,71.0,127
244,2022,286.0,77
205,2023,208.0,16
236,2022,147.0,82
252,2022,136.0,60
201,2022,157.0,174
241,2024,361.0,71
229,2023,324.0,67
256,2024,162.0,151
227,2022,371.0,92
231,2024,371.0,174
252,2022,343.0,55
250,2024,88.0,126
226,2022,278.0,74
238,2022,77.0,75
221,2022,60.0,141
214,2024,283.0,70
242,2022,418.0,66
237,2024,142.0,138
236,2022,70.0,1
235,2023,206.0,16
237,2022,142.0,169
206,2023,91.0,57
230,2022,189.0,124
243,2022,51.0,22
229,2022,89.0,32
213,2022,151.0,44
255,2022,368.0,77
233,2024,210.0,48
251,2024,414.0,105
226,2024,479.0,19
222,2023,315.0,110
202,2022,444.0,180
204,2022,65.0,144
241,2022,313.0,108
229,2023,96.0,135
206,2023,422.0,6
240,2023,223.0,164
253,2023,309.0,48
217,2024,477.0,195
256,2023,141.0,29
237,2023,66.0,51
209,2023,387.0,53
243,2023,294.0,51
233,2024,54.0,84
232,2022,121.0,106
231,2023,175.0,169
230,2024,230.0,154
227,2024,54.0,2
203,2024,84.0,94
214,2022,72.0,15
201,2023,199.0,70
259,2022,417.0,116
222,2024,166.0,97
258,2022,492.0,41
222,2024,371.0,121
234,2024,213.0,183
226,2023,116.0,108
225,2024,77.0,32
248,2022,285.0,28
233,2022,456.0,113
212,2024,190.0,94
239,2023,250.0,90
251,2022,118.0,102
250,2023,281.0,61
209,2023,335.0,193
238,2023,489.0,7
225,2023,109.0,42
203,2024,392.0,112
217,2024,146.0,174
234,2024,454.0,11
246,2023,417.0,83
251,2022,382.0,39
216,2022,91.0,4
255,2024,154.0,183
226,2022,353.0,56
207,2024,410.0,109
252,2023,253.0,109
246,2024,199.0,0
212,2022,297.0,160
245,2024,378.0,187
221,2024,144.0,72
235,2022,99.0,104
242,2024,240.0,33
229,2024,225.0,71
234,2022,371.0,32
250,2024,415.0,55
244,2023,488.0,75
203,2024,85.0,99
212,2022,334.0,82
246,2023,147.0,148
205,2023,224.0,195
217,2022,170.0,131
253,2022,99.0,176
207,2024,58.0,10
240,2023,125.0,122
219,2023,134.0,132
220,2023,495.0,59
231,2022,54.0,157
255,2024,56.0,65
257,2022,477.0,104
231,2023,86.0,143
201,2024,430.0,75
241,2024,295.0,89
201,2022,52.0,11
240,2023,192.0,25
231,2023,132.0,67
258,2023,418.0,26
221,2024,308.0,52
225,2023,389.0,86
240,2022,384.0,84
244,2024,151.0,175
209,2022,252.0,36
238,2024,447.0,44
244,2022,53.0,130
204,2023,468.0,133
211,2024,441.0,133
240,2022,212.0,76
240,2024,373.0,156
231,2024,85.0,160
249,2023,127.0,16
255,2024,221.0,184
239,2022,113.0,10
217,2024,244.0,122
209,2022,69.0,65
222,2023,377.0,33
200,2024,303.0,143
252,2022,234.0,168
252,2024,305.0,123
241,2024,104.0,36
236,2023,319.0,149
217,2024,178.0,173
229,2024,106.0,34
218,2023,389.0,134
244,2024,63.0,49
237,2023,100.0,116
216,2024,397.0,14
227,2022,408.0,131
221,2022,107.0,87
245,2022,426.0,12
237,2023,168.0,28
231,2023,428.0,49
254,2023,314.0,15
224,2023,392.0,0
247,2023,97.0,33
208,2023,460.0,97
235,2024,153.0,103
249,2022,249.0,32
236,2023,461.0,142
200,2024,489.0,185
228,2024,211.0,80
214,2023,51.0,34
243,2022,73.0,180
245,2023,123.0,156
259,2022,354.0,119
228,2022,345.0,57
220,2023,300.0,76
211,2022,57.0,148
225,2022,374.0,38
244,2022,116.0,0
230,2023,274.0,48
234,2022,463.0,76
213,2022,101.0,42
254,2024,344.0,112
206,2023,120.0,87
202,2022,134.0,87
252,2023,279.0,76
240,2023,62.0,99
203,2024,138.0,132
201,2024,424.0,182
234,2022,179.0,77
258,2022,499.0,69
232,2022,499.0,129
236,2023,320.0,108
240,2024,492.0,67
249,2024,323.0,62
212,2022,118.0,79
250,2024,395.0,99
250,2023,335.0,84
206,2022,127.0,80
259,2024,182.0,66
257,2022,473.0,87
238,2023,454.0,197
246,2023,241.0,82
226,2022,412.0,97
248,2022,313.0,2
202,2024,311.0,166
216,2023,139.0,10
224,2023,245.0,110
229,2022,363.0,29
254,2024,229.0,49
213,2022,463.0,66
228,2022,276.0,175
204,2022,490.0,103
206,2023,332.0,39
250,2022,396.0,15
218,2022,221.0,159
232,2024,156.0,99
220,2022,118.0,189
254,2024,409.0,101
250,2022,188.0,39
220,2023,303.0,198
257,2022,92.0,65
216,2023,175.0,103
222,2022,340.0,138
226,2023,444.0,133
230,2023,279.0,136
214,2022,359.0,146
239,2024,355.0,152
239,2023,238.0,132
200,2023,438.0,4
219,2022,278.0,53
240,2024,164.0,194
233,2023,406.0,195
200,2022,203.0,11
231,2023,402.0,133
247,2022,210.0,90
221,2022,200.0,103
228,2024,491.0,86
244,2022,248.0,112
258,2024,442.0,37
210,2022,321.0,157
232,2022,477.0,164
237,2023,284.0,152
200,2024,77.0,171
237,2023,456.0,59
208,2024,189.0,141
212,2024,91.0,66
247,2023,58.0,115
252,2024,107.0,67
251,2024,414.0,163
223,2023,381.0,24
235,2024,250.0,7
219,2023,196.0,24
242,2022,213.0,163
244,2023,382.0,29
256,2024,115.0,114
200,2022,409.0,78
259,2022,106.0,187
234,2022,362.0,44
242,2023,157.0,46
219,2023,330.0,177
239,2022,190.0,196
200,2024,236.0,81
250,2024,318.0,41
245,2022,204.0,177
249,2024,473.0,6
205,2024,278.0,3
259,2023,132.0,53
240,2024,391.0,104
225,2023,229.0,172
228,2022,194.0,30
240,2024,228.0,79
214,2024,51.0,60
257,2023,189.0,172
236,2023,274.0,121
218,2022,205.0,130
255,2022,458.0,174
208,2024,269.0,176
240,2023,272.0,2
258,2023,208.0,2
216,2024,460.0,82
231,2023,413.0,3
227,2023,492.0,58
214,2023,306.0,34
257,2023,84.0,52
252,2024,402.0,143
241,2022,50.0,119
227,2022,58.0,178
208,2024,466.0,153
226,2022,93.0,165
218,2023,102.0,112
206,2024,278.0,67
224,2022,224.0,112
229,2023,256.0,161
212,2022,162.0,20
201,2024,270.0,168
217,2022,134.0,186
252,2022,95.0,88
239,2022,323.0,2
257,2024,300.0,55
252,2023,449.0,189
207,2024,268.0,145
219,2022,236.0,83
208,2024,173.0,14
212,2022,384.0,193
251,2023,357.0,29
220,2023,486.0,166
227,2022,493.0,63
243,2024,160.0,184
259,2022,314.0,62
206,2024,333.0,6
256,2024,115.0,85
230,2022,262.0,71
252,2023,380.0,22
222,2023,401.0,75
212,2024,327.0,5
244,2022,84.0,185
235,2022,155.0,13
201,2022,474.0,27
233,2023,257.0,4
204,2023,208.0,195
201,2024,240.0,55
246,2023,364.0,120
233,2023,187.0,152
201,2022,409.0,154
219,2022,85.0,187
207,2023,262.0,131
222,2024,377.0,28
236,2022,96.0,110
215,2024,491.0,113
254,2023,285.0,6
221,2023,96.0,159
255,2022,146.0,147
245,2022,281.0,63
207,2022,71.0,111
254,2022,463.0,42
252,2023,456.0,99
253,2023,421.0,157
242,2022,352.0,59
242,2024,173.0,155
225,2022,284.0,39
239,2022,231.0,66
222,2022,267.0,36
215,2024,449.0,98
220,2022,315.0,58
257,2023,213.0,19
239,2024,333.0,190
251,2023,219.0,162
228,2024,144.0,57
253,2024,194.0,120
219,2022,353.0,137
211,2023,357.0,58
236,2024,145.0,116
225,2023,237.0,148
202,2024,472.0,42
217,2022,100.0,42
258,2024,356.0,102
200,2023,182.0,128
218,2023,411.0,173
212,2023,168.0,126
242,2023,113.0,106
232,2024,469.0,158
229,2024,472.0,62
221,2024,419.0,173
226,2024,316.0,150
249,2022,274.0,17
250,2024,103.0,189
212,2022,53.0,26
207,2024,353.0,43
252,2024,104.0,173
259,2024,82.0,60
249,2022,178.0,139
201,2024,262.0,104
250,2024,467.0,15
218,2024,78.0,148
223,2023,244.0,99
204,2023,418.0,116
207,2023,457.0,191
219,2022,115.0,122
256,2024,144.0,12
234,2022,176.0,177
201,2024,120.0,127
205,2022,292.0,7
258,2023,398.0,183
215,2024,110.0,183
246,2023,292.0,135
235,2023,252.0,172
201,2024,476.0,97
213,2022,422.0,151
237,2023,138.0,117
251,2023,260.0,20
225,2024,380.0,140
258,2024,94.0,49
219,2022,340.0,178
228,2023,338.0,3
257,2023,118.0,125
203,2022,244.0,187
219,2024,272.0,195
223,2024,189.0,148
200,2024,373.0,161
224,2022,209.0,72
213,2024,163.0,152
234,2024,291.0,104
252,2022,73.0,84
220,2023,356.0,131
235,2023,277.0,63
251,2022,243.0,79
222,2024,61.0,24
245,2024,458.0,167
219,2023,154.0,6
225,2024,457.0,125
250,2023,170.0,172
226,2023,266.0,4
240,2024,177.0,39
213,2023,221.0,20
235,2023,350.0,161
203,2022,234.0,175
225,2024,94.0,149
243,2022,171.0,90
239,2024,323.0,60
259,2024,100.0,78
215,2024,453.0,118
242,2024,146.0,130
238,2023,398.0,110
219,2022,334.0,55
245,2022,391.0,192
223,2023,125.0,110
209,2022,240.0,72
201,2022,211.0,166
244,2024,117.0,25
208,2024,310.0,17
217,2024,421.0,71
241,2024,427.0,14
245,2023,379.0,45
229,2023,455.0,21
202,2023,170.0,165
228,2022,202.0,45
253,2024,239.0,3
206,2022,434.0,20
224,2024,251.0,45
223,2024,128.0,88
242,2022,217.0,22
205,2022,336.0,16
214,2022,166.0,95
214,2023,258.0,65
239,2022,253.0,128
226,2023,310.0,176
258,2022,279.0,34
220,2023,481.0,59
257,2022,280.0,5
257,2023,164.0,117
244,2022,122.0,168
231,2024,356.0,83
231,2022,386.0,176
211,2022,206.0,25
243,2024,228.0,161
208,2024,360.0,73
219,2023,475.0,3
248,2024,130.0,102
214,2023,415.0,8
212,2022,383.0,68
245,2024,453.0,8
207,2023,296.0,24
220,2022,160.0,39
244,2023,396.0,194
224,2022,493.0,24
234,2023,164.0,50
256,2022,88.0,120
239,2022,289.0,145
229,2023,494.0,186
230,2022,497.0,86
205,2023,261.0,186
210,2022,456.0,161
241,2024,314.0,52
257,2024,427.0,46
258,2023,230.0,151
207,2024,228.0,60
207,2024,290.0,56
254,2022,388.0,193
238,2024,465.0,76
250,2023,101.0,147
254,2023,189.0,70
211,2022,371.0,114
202,2024,405.0,161
242,2022,326.0,53
244,2024,217.0,64
215,2024,284.0,199
240,2024,60.0,178
226,2022,110.0,116
215,2022,333.0,40
204,2024,310.0,128
258,2023,419.0,152
239,2024,496.0,51
211,2023,64.0,80
202,2024,465.0,70
234,2024,386.0,143
244,2023,346.0,20
202,2023,469.0,129
230,2022,127.0,68
223,2023,410.0,4
240,2024,442.0,72
228,2022,386.0,180
254,2024,221.0,145
232,2022,184.0,18
237,2024,300.0,190
250,2023,401.0,5
215,2024,93.0,62
232,2024,477.0,154
209,2022,311.0,181
229,2023,449.0,158
233,2023,243.0,191
259,2024,53.0,148
234,2024,113.0,13
206,2022,310.0,1
205,2022,214.0,145
214,2023,152.0,17
231,2023,203.0,34
201,2022,207.0,81
231,2022,435.0,82
227,2024,420.0,24
220,2024,451.0,134
216,2022,312.0,130
218,2022,415.0,56
213,2022,160.0,53
248,2024,136.0,15
250,2023,197.0,147
233,2022,320.0,132
247,2024,485.0,60
219,2023,423.0,158
220,2022,205.0,23
247,2023,497.0,127
202,2024,372.0,62
257,2024,180.0,172
213,2022,234.0,171
220,2023,104.0,87
226,2023,445.0,124
206,2023,241.0,79
241,2023,106.0,110
228,2024,85.0,166
208,2023,441.0,27
239,2022,314.0,123
214,2024,212.0,122
243,2022,431.0,4
227,2023,137.0,14
237,2023,468.0,104
214,2024,188.0,48
214,2023,425.0,3
229,2022,439.0,13
256,2024,458.0,137
231,2023,50.0,86
239,2022,314.0,124
211,2023,174.0,100
219,2023,169.0,43
226,2023,382.0,76
201,2023,78.0,163
240,2022,351.0,127
221,2024,337.0,186
225,2022,208.0,159
239,2022,267.0,108
207,2024,409.0,64
235,2024,256.0,191
225,2023,411.0,3
236,2023,424.0,125
216,2022,292.0,0
256,2023,311.0,123
206,2024,206.0,76
200,2024,208.0,20
226,2023,449.0,78
241,2022,251.0,168
225,2023,304.0,40
231,2024,169.0,9
213,2024,409.0,116
218,2022,304.0,131
208,2024,181.0,196
242,2022,398.0,171
258,2022,177.0,186
243,2023,185.0,165
200,2023,409.0,23
253,2022,370.0,151
220,2023,412.0,18
219,2024,86.0,83
248,2022,136.0,115
254,2022,463.0,170
232,2023,256.0,74
232,2022,270.0,122
217,2022,457.0,86
240,2022,220.0,78
216,2023,188.0,84
255,2022,128.0,99
212,2022,238.0,126
248,2022,157.0,140
242,2023,159.0,31
248,2022,343.0,9
208,2022,225.0,58
255,2023,459.0,45
245,2022,177.0,100
200,2022,414.0,122
222,2022,73.0,31
239,2022,263.0,176
233,2022,387.0,83
235,2024,122.0,38
249,2022,270.0,178
244,2024,401.0,143
213,2024,189.0,38
253,2024,154.0,59
220,2024,194.0,132
242,2024,266.0,80
242,2023,486.0,191
220,2023,319.0,175
227,2023,202.0,25
231,2024,318.0,50
229,2022,342.0,67
239,2022,315.0,101
211,2022,423.0,109
228,2022,122.0,153
200,2023,440.0,19
225,2024,447.0,70
215,2023,173.0,151
217,2022,149.0,66
232,2024,423.0,194
251,2022,310.0,49
249,2023,62.0,117
241,2023,69.0,15
242,2023,77.0,160
222,2022,164.0,177
247,2024,485.0,115
259,2024,256.0,88
204,2023,472.0,118
220,2024,428.0,114
200,2022,326.0,129
230,2024,241.0,58
217,2022,66.0,40
220,2023,247.0,190
206,2023,159.0,61
200,2023,74.0,83
222,2024,123.0,129
226,2022,68.0,6
259,2023,421.0,125
201,2022,316.0,117
233,2023,81.0,135
256,2022,315.0,2
215,2023,288.0,141
239,2022,275.0,86
209,2022,164.0,71
219,2022,93.0,32
247,2024,142.0,154
236,2023,142.0,10
224,2022,263.0,96
203,2024,419.0,10
231,2024,383.0,106
257,2024,492.0,17
244,2022,307.0,91
227,2022,317.0,89
239,2024,135.0,93
212,2023,114.0,108
204,2022,291.0,73
216,2022,125.0,169
